Sıra No;Kitap Adı;Yazar Adı;Özgün Adı;Çevirmen;Serideki Yayın Yılı;Tanıtım Bülteni
11;"Sürgün Gezegeni";"Ursula K. Le Guin";"Planet of Exile";"Ekin Odabaş";2016;"Güneş küçülüp de karlar geldiğinde, insansı hilfler göçebe yaşamlarına son verip soğuğun acımasızlığından ve her sonbahar donmuş topraklardan güneye doğru akın akın gelen vahşi Goal sürülerinin gazabından kaçarak kendilerini Kış Şehirleri'ne gömdüler. Gün be gün küçülen koloni ise tam altı yüzyıl önce terk ettikleri dünyanın on beş yılına denk bir kıştan kaçıp Landin'in duvarlarının ardına sığınmıştı.

Hilfler Uzakdoğumlu dedikleri ve tuhaf güçlere sahip olduklarından şüphelendikleri kolonicilerden korkuyordu; kayıp koloniyi yalnızlığa iten onların bu korkusuydu. Yine de Dünyalılar bu korkunç kıştan sağ çıkmak için yegane umutlarının ortak düşmanları olan yağmacı Gaallar ve insanın kanını donduran avcı karcadılarına karşı güçlerini birleştirmek olduğunu biliyorlardı. Tek seçenekleri güçlerini birleştirmek ya da ırak sürgün gezegenlerinde sonsuza dek kaybolmaktı."
12;"Pazartesi Cumartesiden Başlar";"Arkadi ve Boris Strugatsky";"Ponedelnik Nachinaetsya v Subbotu";"Hazal Yalın";2016;"Arkadi ve Boris Strugatski, entelektüel açıdan kışkırtıcı, inanılmaz eğlenceli, cesur ve eleştirel kitaplarıyla ""Sovyetler döneminin en büyük bilimkurgu yazarları"" sıfatını hak eden yegâne ikili. Pazartesi Cumartesiden Başlar ise büyünün ve bilimin muazzam karışımıyla, Strugatski Kardeşler'in külliyatı içerisinde bile benzeri bulunmayan bir eser. Her şey bilgisayar mühendisi Saşa Privalov'un iki otostopçuyu arabasına almasıyla başlar. Bu iki otostopçu imkânsızın sıradanlaştığı, sonsuzluğun sadece bir pazartesi gününden ibaret olduğu, mitolojik karakterlerin koridorlarında cirit attığı YOKHİÇ Enstitüsü'nde çalışmaktadır. Privalov da büyü araştırmalarının ciddi bir iş olduğu bu tuhaf dünyanın ister istemez içine çekilir.

Strugatskiler'in bilim üzerine kurguladıkları büyü akademisi, J. K. Rowling'in Hogwarts'ına, Patrick Rothfuss'un Üniversitesi'ne yıllara öncesinden gelen bir esin. Strugatskiler'in isterlerse Kafka olabileceklerini ama büyük bir mutlulukla kendi yollarını çizdiğini gösteren bu kitap, yazılmış en benzersiz satirlerden de biri. Bilim, büyü ve sosyalizmin bir araya geldiği bir dünyada, kaos ne kadar uzakta olabilir ki?

Pazartesi Cumartesiden Başlar, büyünün çarpım tablosu."
13;"Arcturus'a Yolculuk";"David Lindsay";"A Voyage to Arcturus";"Çağlar Kök";2016;"J.R.R. Tolkien, C.S. Lewis, Alan Moore ve Michael Moorcock gibi 20. yüzyıl spekülatif kurgusunun en büyük isimlerini büyüsü altına alan Arcturus'a Yolculuk, her gizemli hikâye gibi, bir toplantıyla başlar. Ardından her arayış hikâyesinde olduğu gibi, kahramanımız uzun ve zorlu bir yolculuğa çıkar. Yine de Arcturus'a Yolculuk'ta karşılaşacağınız bu akıl almaz anlatıyı başka hiçbir kitapta bulamazsınız.

Arcturus'a Yolculuk'u okurken kendinizi, iyi ile kötü çatışmasının donma noktasında, evrenin anlamı için verilen savaşın en kızgın anında bulacaksınız. Arcturus'a Yolculuk tanımlanmaya direnen bir kitap. Birinci elden tecrübe edip acı eşiğinizi güçlendirmeniz şiddetle tavsiye olunur.

Arcturus'a Yolculuk, hayaller dünyasında bir benlik arayışı."
14;"Zaman Makinesi";"H.G. Wells";"The Time Machine";"Volkan Gürses";2016;"Wells'in ilk olarak okul gazetesinde yayınladığı bir öyküden hareketle kaleme aldığı kısa romanı Zaman Makinesi, 1895'ten beri bilimkurgunun önde gelen eserlerinden biri oldu. Hem geleceği hayal etmek hem de biliminsanının karakterini göstermek adına derin saptamalarda bulunan, politik göndermelerle yüklü bu distopya, hâlâ gerçekleştiremediğimiz bir fantezinin peşinden yıllardır sürüklüyor bizi. Volkan Gürses'in Türkçeye çevirdiği Zaman Makinesi'nin bu yeni baskısı, roman tarihi ve H.G. Wells üzerine yaptığı çalışmalarla tanınan akademisyen Patrick Parrinder'ın önemli makalelerinden biriyle zenginleşiyor. Elif Ersavcı'nın Türkçeye kazandırdığı bu makalede Parrinder, Wells'in Zaman Makinesi'ni yazarken, ""yaratıcılık düzeyinde de olsa, kendi ölümünün ötesine geçmeyi"" öğrendiğini iddia ediyor. Zamana karşı bir makinenin, ölümlülüğe karşı bir yaşamın hikâyesi bu. Wells'in en büyük üç romanından biri olan Zaman Makinesi'ni okurken, hepimiz bir Zaman Yolcusu'yuz!"
15;"2001: Bir Uzay Destanı";"Arthur C. Clarke";"2001: A Space Odyssey";"Oya İşeri Gever";2016;"Ay'da ortaya çıkarılan bir bilinmezlik;Bu keşfin açtığı ufuklar öylesine engindir ki...İlk kez güneş sistemi'nin derinliklerine insanlar gönderilir. Ama bu insanlar, hedeflerine ulaşmadan bir şeyler ters gitmeye başlar. Ürkütücü biçimde ters...

Ay'a ayak basmanın henüz hayal olduğu bir dönemde yazılan ve yüzyılımızın en yaratıcı filmlerinden birine konu olan, olağanüstü, çarpıcı bir kitap.

2001: Bir Uzay Efsanesi, insanın evrendeki yeri sorusuna cevap arıyor.

Bir Uzay Efsanesi serisinin ilk kitabı olan 2001, Arthur C. Clarke'ın, kitabının oluşumunu anlatan önsözü ve bu sıradışı romana kaynak olan ""Gözcü"" ve ""Şafakta Karşılaşma"" isimli iki kısa öyküyle birlikte."
16;"Dune Çocukları";"Frank Herbert";"Children of Dune";"Dost Körpe";2016;"Frank Herbert, deneylerden çok deneysel yaklaşımların had safhaya ulaştığı, tür içerisindeki ""iyi edebiyat iyi edebiyattır""cıları bir araya getiren yeni dalga bilimkurgu akımının en önemli temsilcilerinden. Türün tüm olanaklarını, suyunu çıkarana kadar kullandığı Dune serisinin üçüncü kitabı Dune Çocukları, din ve güç arasındaki ince çizginin altını çizen sayılı romanlardan. Paul'ün çöle gidişinin üzerinden dokuz sene geçmiş, çöl gezegeni artık yeşillenmeye başlamıştı. Bahar üretimi de giderek artıyordu. Bu değişimlerle beraber çöl terk ediliyor, kök salmış âdetlerden sapılıyordu.

Baharın sağladığı geleceği görme gücünden yoksun kalan Alia, İmparatorluk'u kaybetmemek adına elinden geleni yaparken, karşısında geçmişinden hesaba katmadığı rakipler bulacaktı. Çölün derinliklerinden çıkagelen Vaiz, Paul'ün dinine karşı vaazlar veriyordu. Unutulmayan kan davaları tekrar gün yüzüne çıkacaktı. Paul'ün ikizleri, II. Leto ve Ganimet ise İmparatorluk'un yeni mehdileri olarak yetiştirilmekteydi. Fakat onların da kendi planları vardı.

Dune Çocukları, efsanesiyle uzlaşamayan bir gezegenin yörüngede kalma mücadelesi."
17;"Ben, Robot";"Isaac Asimov";"I, Robot";"Ekin Odabaş";2016;"Ünlü bilimkurgu yazarı Isaac Asimov'un bilimkurguya en büyük katkısı Üç Robot Kanunu'dur. Üç Robot Kanunu'na göre;"
18;"Kaplan! Kaplan!";"Alfred Bester";"The Stars My Destination";"Barış Tanyeli";2017;"""Yüksek maceranın, zengin yaşamanın ve zor ölmenin olduğu bir Altın Çağ'dalardı… ama kimse öyle düşünmüyordu. Servet ve hırsızlığın, talan ve yağmacılığın, kültür ve ahlaksızlığın geleceği… ama kimse bunu kabul etmiyordu. Aşırıların çağındaydılar, ucubelerin büyüleyici yüzyılı… ama kimse bunu sevmiyordu.""

Uzayda ölüme terk edilen ve 170 gün boyunca havasız ortamda hayatta kalmayı başaran Gully Foyle, kendine geldikten sonra gemi enkazından kurtulur ve intikamını almak için yola koyulur. Tüm Dünya'yı değiştirecek bir sırrı da yanında taşımaktadır.

Alfred Bester Kaplan! Kaplan!'da bilimkurguya getirdiği tüm yenilikleri bir seviye ileri götürüyor ve belki de yazılmış en iyi bilimkurgu romanını ortaya çıkarıyor.

Kaplan! Kaplan!, bilimkurgu edebiyatındaki Monte Kristo Kontu."
19;"Bitmeyen Savaş";"Joe Haldeman";"Forewer War";"Ardan Tüzünsoy";2017;"Joe Haldeman, yalnızca tarihin en iyi bilimkurgucularından biri değil ayrıca bir Vietnam gazisi. Robert A. Heinlein'ın, ""Okuduğum en iyi gelecek nesil savaşı tasviri olabilir,"" diye tanımladığı Bitmeyen Savaş ise askeri bilimkurgunun antimilitarist mucizesi.

İnsanlığın, çökmüş yıldızlar aracılığıyla galaksinin çeşitli yerlerine anında seyahat edebildiği bir gelecekte, insanlar Tauranlar dedikleri, iletişim kuramadıkları bir uzaylı ırkla savaştadır. Dünyanın geleceği parlak gençlerinden oluşan elit saldırı takımlarından oluşan ordu, çeşitli liman gezegenlerin kontrolü için bu ırkla çatışma halindedir.

Binlerce ışık yılı uzaktaki gezegenlere yapılan seferler... Zaman genişlemesi yüzünden Dünya'da daha hızlı akan yıllar... Canlılara düşman koşullarda verilen eğitimler... Ve tüm bu şartlar yüzünden, Dünya'ya döndüklerinde ayak bastıkları gezegenlerden çok daha yabancı bir gezegenle karşılaşan askerler..."
20;"Ay Zalim Bir Sevgilidir";"Robert A. Heinlein";"The Moon Is a Harsh Mistress";"Can Çakır";2017;"Robert A. Heinlein şüphesiz ki tarihin en etkili bilimkurgu yazarlarından; Isaac Asimov'un deyişiyle bilimkurguya yön veren üç büyük yazardan biriydi. Samuel R. Delany ise yazarın tür üzerindeki etkisini, ""Heinlein'ın etkisinden kurtulmaya çalışanlar her seferinde gökyüzü ya da okyanus gibi engin bir şeyle uğraştıklarını fark ediyorlar,"" diyerek anlatmıştı. En iyi roman dalında Hugo Ödülü'nü dört kez kazanan üstat halen bu rekoru elinde tutuyor. Hugo ve Prometheus ödüllü Ay Zalim Bir Sevgilidir ise pek çoklarınca yazarın en iyi eseri olarak kabul ediliyor.

Ay'ı Dünya'dan kontrol eden Otorite'ye karşı, yalnızca mahkûm ve sürgünlerin gönderildiği ceza kolonisine dönüşmüş Ay'daki isyanın ve devrimin öyküsü bu. Ayrılıkçı hareketin liderleri haline gelen bir bilgisayar uzmanı, karizmatik bir genç kadın ve yaşlı bir akademisyenin köleleştirilmiş insanların geleceğini değiştirme hikâyesi. Ve birbirinden farklı bu üçlüye ek olarak, kendi kendine bilinç kazanmış, mizah yolunda tüm özelliklerini devrimin nihai başarısına adamış olan süper bilgisayar Mike'ın çabası burada anlatılan.

Ay Zalim Bir Sevgilidir siyaset, insanlık, tutku, devrim, teknoloji, mizah ve insan özgürlüğüne adanmış yaşamların peşinde koşan bir başyapıt.

Le Guin'in Mülksüzler'i gibi, siyasi bilimkurguda bir devrim!"
21;"Su Adamı";"Aleksandr Belyaev";"The Amphibian Man";"Hazal Yalın";2017;"Türkçeye daha önce Profesör Dowell'in Başı ve Ket Yıldızı kitapları çevrilen ünlü Rus bilimkurgucu Aleksandr Belyaev'in başyapıtı Su Adamı, İthaki Yayınları'nın Bilimkurgu Klasikleri dizisinin 21. kitabı olarak ilk kez Türkçede.

Tarihte bilimkurgu yazarak geçimini sağlayan ilk yazar olan Belyaev, aynı zamanda ""Sovyetlerin Jules Verne'i"" olarak da nitelendiriliyor. Su Adamı'nda çocukluğunda üzerinde yapılan deneyler sonucu balık solungaçlarına sahip olan ve bu yüzden yaşamını suda geçiren, balıkçıların ""deniz şeytanı"" lakabını taktığı Ihtyandr'ın kara ve deniz hayatı arasında yaşadığı gelgitlerin yanı sıra insanüstü bir canlı olarak dışdünyayla olan mücadelesine de tanık oluyoruz.

Belyaev bu eserinde fakirlere daha iyi yaşam koşulları sağlamak gibi sosyal meselelere de dokunmaktan geri durmuyor."
22;"Görünmez Adam";"H.G. Wells";"The Invisible Man";"Ali Kaftan";2017;"""Şüphesiz Görünmezlik, İstediklerimi Elde Etmemi Sağlıyordu Ama Onların Tadını Çıkarmamı da İmkânsız Kılıyordu.""

H. G. Wells, bilimkurgunun atası, türe adını altın harflerle yazdırmış en büyük yazarlardan. Yazdığı bilim fantazileri nesiller boyu yazarları etkilemiş, onlara yol göstermiş; ilk basıldıkları dönemden itibaren etkilerini yitirmeden okurların gönlünde taht kurmaya devam etmiştir. Görünmez Adam da Wells'in eserleri içinde en akılda kalıcı olanlardan biri.

Tuhaf görünüşlü yabancı, bir tipi sırasında Iping Köyü'ne gelir. Garip hareketleri, giyinişi, suratının tamamının bandajlar içinde olması ve gözlüklerini bir an olsun gözünden çıkarmaması köy sakinleri tarafından kimi zaman şüpheyle, kimi zaman düşmanca karşılanır. Kısa süre içerisinde hakkındaki dedikodular giderek yoldan çıkan bir dizi olaya neden olacaktır."
23;"Tanrı Olmak Zor İş";"Arkadi ve Boris Strugatsky";"Hard to Be a God";"Hazal Yalın";2017;"Arkadi ve Boris Strugatski, entelektüel açıdan kışkırtıcı, inanılmaz eğlenceli, cesur ve eleştirel kitaplarıyla ""Sovyetler döneminin en büyük bilimkurgu yazarları"" sıfatını hak eden yegâne ikili.Tanrı Olmak Zor İş ise insanlığın karanlık geçmişinin kalbine yapılmış en cesur yolculuklardan biri.

İnsanlık, Dünya'nın tıpatıp aynısı olan, üzerindeki insanların karanlık çağdan öteye gidemediği bir gezegene gözlemciler göndermiştir. Bu gezegenin gidişatına müdahale etmelerine hiçbir şekilde izin verilmeyen bu gözlemcilerin asıl amacı insanlığın karanlık çağını her ayrıntısıyla kayıt altına almaktır.

Büyük bir değişimin kıyısında olan Arkanar Krallığı'nda halk baskı altında yaşamakta, yenilikler beşiğinde boğulmakta, okuma yazma bilenler linç edilmektedir. Bu gezegene gönderilmiş gözlemcilerden biri olan Anton da Don Rumata ismiyle bir asilzade hayatı yaşarken, bir yandan da dönemin aydınlarını kurtarmaya çalışır."
24;"Frankenstein";"Mary Shelley";"Frankenstein; or, The Modern Prometheus";"Orhan Yılmaz";2017;"""Frankenstein, günümüz bilimkurgusunun başlangıç noktası."" — Stephen King

""Frankenstein'ın başarısı, insanlığın sonu gelmeyen korkularından biri olan tehlikeli bilgiye karşı korkuyu yeniden ortaya koymasında saklı."" — Isaac Asimov

""Sevgi uyandıramıyorsam, korku salacağım, özellikle de sana çünkü söndürülemez bir nefret duyuyorum yaratıcıma...""

Mary Shelley yaşadığı dönem, bulunduğu çevre ve geldiği aile sebebiyle edebiyat tarihinin nevi şahsına münhasır yazarlarından biri olsa da ona ölümsüzlüğü getiren şey ""yaratıcılığı"". Shelley'nin iki asır önce kaleme aldığı Frankenstein pek çoklarınca ilk bilimkurgu eseri olmasının yanı sıra gotiğin, korkunun hatta romansın bir araya geldiği gerçek bir edebiyat klasiği. Eserden daha büyük popülariteye ulaşan, kişinin kendi yaratımı tarafından yok edildiği ""Frankenstein Teması"" ise hem kültürümüzün önemli bir parçası hem de Shelley'nin izlerini takip eden pek çok yazarın çıkış noktası."
25;"Anlatış";"Ursula K. Le Guin";"The Telling";"Kemal Baran Özbek";2017;"Karanlığın Sol Eli ve Sürgün Gezegeni gibi unutulmaz kitapların dahil olduğu Hainli Döngüsü'nün özenli bir parçası olan Anlatış, 1974'te yayımlanan Mülksüzler'in ardından Le Guin'in yazdığı ilk Ekumen ve şimdilik, yazarın kaleminden çıkmış son bilimkurgu romanı.

Bu kitapta Le Guin, çoğu eserinde olduğu gibi yine ötekilik ve iletişim gibi temalara eğilerek önyargılarımıza ayna tutuyor. ""Din"" kavramını sorguluyor ve son derece politik bir bilimkurgu sunuyor. Yine de Le Guin, tüm bunların ötesinde edebiyatın kendisine dönüyor, çünkü bu romanın odağında birçok önemli değeri simgeleyen bir kültür, usul usul sürdürülen bir gelenek var: Hikâye anlatıcılığı.

Edebiyat ve tarihle arası iyi olan Sutty, baskıcı bir rejimin altında değerlerin nasıl kaybolduğunu, tarihin nasıl silindiğini görmek, bu rejimin ulaşamadığı noktalardaki direnişi incelemek, efsanelerde bahsedilen hikâye anlatıcılarının dünyasını keşfetmek için Aka gezegeninde bir yolculuğa çıkar. Geride bıraktığı dünya ile vardığı dünya arasındaki farklar dehşete düşürücü, benzerlikler ise düşündürücüdür."
26;"Dune Tanrı İmparatoru";"Frank Herbert";"God Emperor of Dune";"Dost Körpe";2017;"Bilimkurgu edebiyatının en mühim anlatılarından biri olan Dune efsanesi dördüncü kitap Dune Tanrı İmparatoru ile devam ediyor.

Dune Çocukları'ndaki olayların üzerinden üç bin yıldan fazla geçmiştir. Dune artık çok farklı bir gezegendir. Fakat değişmeyen bir şey var: Dune'un Tanrı İmparatoru II. Leto.

Dune adıyla bilinen Arrakis gezegeninden evreni kontrol eden Tanrı İmparator II. Leto, evrene daha önce tatmadığı uzunlukta bir barış getirmişti. Fakat son yaklaşıyordu. İnsanlığın evrimini ve geleceğini tayin edebilecek tek kişi olan Tanrı İmparator II. Leto nihai zaferine ulaşmak için çok büyük bir fedakârlıkta bulunmalıydı…"
